"Produkt_Code,""SDO_ID"",""Zeitstempel"",""Wert"",""Qualitaet_Niveau"",""Qualitaet_Byte"""
"TT_TU_MN009,""1666"",""201401070500"",""9.2"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401070600"",""9.4"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401070700"",""9.6"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401070800"",""9.4"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401070900"",""9.6"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401071000"",""9.8"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401071100"",""9.9"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401071200"",""9.9"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401071300"",""10.1"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401071400"",""10.2"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401071500"",""10.2"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401071600"",""10.1"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401071700"",""10.2"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401071800"",""9.9"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401071900"",""9.9"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401072000"",""9.4"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401072100"",""8.6"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401072200"",""8.8"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401072300"",""9.2"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401080000"",""9.5"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401080100"",""9.3"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401080200"",""9"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401080300"",""9.1"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401080400"",""9.1"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401080500"",""9"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401080600"",""9.1"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401080700"",""8.8"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401080800"",""8.6"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401080900"",""8.5"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401081000"",""8.5"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401081100"",""8.5"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401081200"",""8.5"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401081300"",""8.3"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401081400"",""8.3"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401081500"",""8.5"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401081600"",""8.2"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401081700"",""8.3"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401081800"",""8.1"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401081900"",""7.7"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401082000"",""7.9"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401082100"",""7.7"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401082200"",""7.5"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401082300"",""7.4"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401090000"",""7.1"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401090100"",""7.3"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401090200"",""7.5"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401090300"",""7.4"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401090400"",""7.1"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401090500"",""6.7"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401090600"",""6.4"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401090700"",""6.5"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401090800"",""7.2"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401090900"",""7.9"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401091000"",""9.2"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401091100"",""10"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401091200"",""10.3"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401091300"",""10.1"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401091400"",""9.7"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401091500"",""8.3"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401091600"",""8"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401091700"",""7.7"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401091800"",""5.9"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401091900"",""6"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401092000"",""6.6"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401092100"",""6.6"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401092200"",""6.4"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401092300"",""6.5"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401100000"",""6.4"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401100100"",""5.9"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401100200"",""6.2"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401100300"",""6.4"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401100400"",""6.7"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401100500"",""7"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401100600"",""6.8"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401100700"",""6.9"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401100800"",""6.7"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401100900"",""6.6"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401101000"",""7"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401101100"",""6.8"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401101200"",""7.1"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401101300"",""7.4"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401101400"",""6.3"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401101500"",""6.9"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401101600"",""6.5"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401101700"",""6.7"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401101800"",""6.4"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401101900"",""6.1"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401102000"",""6.2"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401102100"",""6.4"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401102200"",""6.3"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401102300"",""6.2"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401110000"",""6.8"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401110100"",""6.7"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401110200"",""6.6"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401110300"",""6.9"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401110400"",""7.1"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401110500"",""7.2"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401110600"",""7"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401110700"",""6.8"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401110800"",""6.9"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401110900"",""6.6"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401111000"",""6.4"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401111100"",""6.3"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401111200"",""6.2"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401111300"",""6.1"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401111400"",""4.8"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401111500"",""4.8"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401111600"",""5.4"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401111700"",""5.4"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401111800"",""4.1"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401111900"",""4.5"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401112000"",""4.9"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401112100"",""3.6"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401112200"",""4.7"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401112300"",""4.7"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401120000"",""4.5"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401120100"",""4.3"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401120200"",""4.8"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401120300"",""4.9"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401120400"",""4.9"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401120500"",""4.8"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401120600"",""4.8"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401120700"",""4.7"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401120800"",""5"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401120900"",""5.3"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401121000"",""5.5"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401121100"",""5.7"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401121200"",""6"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401121300"",""5.4"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401121400"",""5.2"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401121500"",""5"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401121600"",""4.6"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401121700"",""4.5"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401121800"",""3.8"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401121900"",""2.7"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401122000"",""2.6"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401122100"",""1.4"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401122200"",""1.1"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401122300"",""0.5"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401130000"",""0.3"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401130100"",""0.8"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401130200"",""1"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401130300"",""1.2"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401130400"",""1.8"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401130500"",""2.4"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401130600"",""2.9"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401130700"",""3"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401130800"",""2.9"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401130900"",""3.1"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401131000"",""2.2"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401131100"",""1.5"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401131200"",""1.9"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401131300"",""2.6"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401131400"",""3.6"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401131500"",""5.3"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401131600"",""6.3"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401131700"",""6"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401131800"",""5.4"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401131900"",""5.4"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401132000"",""5.2"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401132100"",""4.8"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401132200"",""4.8"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401132300"",""4.7"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401140000"",""5"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401140100"",""4.4"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401140200"",""3.6"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401140300"",""4.1"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401140400"",""3.8"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401140500"",""3.6"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401140600"",""3.6"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401140700"",""3.5"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401140800"",""3.4"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401140900"",""3.6"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401141000"",""4.3"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401141100"",""4.1"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401141200"",""3.9"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401141300"",""4.6"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401141400"",""5"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401141500"",""4.1"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401141600"",""3.5"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401141700"",""3.6"",""7"",""1"""
"TT_TU_MN009,""1666"",""201401141800"",""3.7"",""7"",""1"""
